1. Subregion Output Emission Rates (eGRID2023),V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
eGRID subregion acronym,eGRID subregion name,Total output emission rates,CH₄,N₂O,CO₂e,Annual NOₓ,Ozone Season NOₓ,SO₂,Non-baseload output emission rates,CH₄,N₂O,CO₂e,Annual NOₓ,Ozone Season NOₓ,SO₂,Grid Gross Loss (%)
,,lb/MWh,,,,,,,lb/MWh,,,,,,,
eGRID subregion acronym,eGRID subregion name,CO₂,CH₄,N₂O,CO₂e,Annual NOₓ,Ozone Season NOₓ,SO₂,CO₂,CH₄,N₂O,CO₂e,Annual NOₓ,Ozone Season NOₓ,SO₂,Grid Gross Loss (%)
AKGD,ASCC Alaska Grid,899.00,0.09,0.01,904.48,5.55,6.17,0.31,1077.11,0.12,0.02,1084.51,6.35,6.97,0.46,0.041
AKMS,ASCC Miscellaneous,519.45,0.03,0.00,521.36,8.12,7.88,0.71,1548.61,0.07,0.01,1553.65,24.44,23.57,2.11,0.041
AZNM,WECC Southwest,740.81,0.04,0.01,743.43,0.38,0.38,0.11,1260.44,0.07,0.01,1264.74,0.67,0.63,0.18,0.041
CAMX,WECC California,436.66,0.03,0.00,438.20,0.34,0.30,0.02,1033.99,0.05,0.01,1037.15,0.67,0.63,0.05,0.041
ERCT,ERCOT All,738.04,0.04,0.01,740.82,0.45,0.49,0.32,1264.94,0.08,0.01,1269.82,0.92,0.91,0.67,0.042
FRCC,FRCC All,801.89,0.04,0.01,804.48,0.25,0.24,0.13,1033.95,0.05,0.01,1036.77,0.32,0.29,0.16,0.042
HIMS,HICC Miscellaneous,1122.12,0.15,0.02,1132.03,7.56,7.20,4.48,1596.39,0.17,0.03,1608.19,11.68,11.58,6.17,0.044
HIOA,HICC Oahu,1489.36,0.13,0.02,1498.76,3.91,3.71,4.28,1753.44,0.16,0.03,1764.60,4.50,4.33,5.04,0.044
MROE,MRO East,1402.01,0.12,0.02,1409.68,0.99,1.02,0.28,1713.77,0.16,0.02,1724.39,1.15,1.16,0.37,0.042
MROW,MRO West,920.02,0.10,0.01,926.44,0.71,0.81,0.90,1776.58,0.18,0.03,1788.45,1.40,1.38,1.58,0.042
NEWE,NPCC New England,537.24,0.06,0.01,541.13,0.29,0.28,0.12,885.16,0.07,0.01,889.32,0.39,0.32,0.14,0.042
NWPP,WECC Northwest,631.71,0.05,0.01,635.24,0.57,0.52,0.27,1613.43,0.15,0.02,1623.05,1.58,1.55,0.75,0.041
NYCW,NPCC NYC/Westchester,974.66,0.03,0.00,976.09,0.26,0.26,0.03,1008.89,0.02,0.00,1010.00,0.36,0.39,0.01,0.042
NYLI,NPCC Long Island,1180.68,0.14,0.02,1189.34,0.83,0.79,0.33,1316.56,0.05,0.01,1319.57,0.81,0.74,0.13,0.042
NYUP,NPCC Upstate NY,240.99,0.01,0.00,241.67,0.08,0.09,0.03,909.11,0.04,0.01,911.55,0.37,0.35,0.10,0.042
PRMS,Puerto Rico Miscellaneous,1542.95,0.08,0.01,1548.41,3.90,4.10,3.70,1636.74,0.07,0.01,1642.03,4.37,4.72,4.74,
RFCE,RFC East,594.74,0.04,0.01,597.00,0.20,0.21,0.21,1175.50,0.08,0.01,1180.38,0.58,0.56,0.62,0.042
RFCM,RFC Michigan,962.08,0.08,0.01,967.40,0.52,0.52,0.56,1508.12,0.14,0.02,1517.57,0.89,0.83,1.02,0.042
RFCW,RFC West,911.32,0.07,0.01,915.95,0.42,0.36,0.41,1757.35,0.16,0.02,1767.95,0.99,0.78,0.88,0.042
RMPA,WECC Rockies,1036.02,0.09,0.01,1041.96,0.53,0.50,0.33,1620.64,0.12,0.02,1628.80,0.93,0.90,0.47,0.041
SPNO,SPP North,861.93,0.09,0.01,867.67,0.46,0.57,0.14,1892.09,0.19,0.03,1904.52,1.07,1.04,0.30,0.042
SPSO,SPP South,891.10,0.06,0.01,894.71,0.69,0.78,0.67,1508.43,0.10,0.01,1514.61,1.35,1.33,1.21,0.042
SRMV,SERC Mississippi Valley,739.42,0.03,0.00,741.44,0.49,0.53,0.35,1145.49,0.06,0.01,1149.39,0.92,0.97,0.86,0.042
SRMW,SERC Midwest,1238.31,0.13,0.02,1247.04,0.79,0.58,1.63,1818.55,0.19,0.03,1831.15,1.67,1.06,2.16,0.042
SRSO,SERC South,840.89,0.06,0.01,844.56,0.35,0.34,0.16,1386.00,0.10,0.01,1392.35,0.74,0.65,0.30,0.042
SRTV,SERC Tennessee Valley,895.69,0.08,0.01,900.91,0.38,0.36,0.43,1665.76,0.15,0.02,1675.93,0.70,0.64,0.83,0.042
SRVC,SERC Virginia/Carolina,590.23,0.05,0.01,593.12,0.28,0.32,0.15,1286.77,0.10,0.01,1293.31,0.69,0.72,0.38,0.042
U.S.,,771.52,0.06,0.01,775.22,0.46,0.45,0.36,1393.70,0.10,0.02,1400.48,0.93,0.87,0.69,0.042
,,,,,,,,,,,,,,,Created:,01/17/2025
,,,,,,,,,,,,,,,,