2. Subregion Resource Mix (eGRID2023),V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
eGRID subregion acronym,eGRID subregion name,Nameplate Capacity (MW),Net Generation (MWh),Generation Resource Mix (percent)*,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel
eGRID subregion acronym,eGRID subregion name,Nameplate Capacity (MW),Net Generation (MWh),Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel
AKGD,ASCC Alaska Grid,2194.00,5100446.78,0.143,0.090,0.604,0.000,0.000,0.139,0.008,0.016,0.000,0.000,0.000
AKMS,ASCC Miscellaneous,901.50,1585195.38,0.000,0.247,0.065,0.000,0.000,0.671,0.000,0.018,0.000,0.000,0.000
AZNM,WECC Southwest,54243.20,166728432.52,0.117,0.000,0.459,0.000,0.189,0.028,0.003,0.081,0.086,0.037,0.000
CAMX,WECC California,99264.30,216841822.33,0.021,0.000,0.411,0.007,0.082,0.147,0.022,0.067,0.205,0.037,0.001
ERCT,ERCOT All,145507.70,474437410.10,0.127,0.000,0.493,0.004,0.086,0.001,0.002,0.227,0.059,0.000,0.001
FRCC,FRCC All,72773.80,244024971.63,0.047,0.005,0.749,0.006,0.123,0.001,0.011,0.000,0.055,0.000,0.004
HIMS,HICC Miscellaneous,1099.20,2614533.00,0.000,0.659,0.000,0.000,0.000,0.036,0.047,0.121,0.064,0.074,0.000
HIOA,HICC Oahu,2352.00,6547822.74,0.000,0.830,0.000,0.027,0.000,0.000,0.025,0.043,0.074,0.000,0.000
MROE,MRO East,9637.90,24438902.71,0.396,0.003,0.427,0.000,0.000,0.043,0.030,0.054,0.047,0.000,0.000
MROW,MRO West,77431.60,240962889.78,0.352,0.001,0.131,0.002,0.078,0.041,0.007,0.376,0.012,0.000,0.001
NEWE,NPCC New England,39269.40,103105442.22,0.002,0.004,0.557,0.015,0.225,0.084,0.043,0.033,0.036,0.000,0.001
NWPP,WECC Northwest,80127.80,269265835.41,0.164,0.002,0.248,0.003,0.031,0.387,0.010,0.116,0.031,0.007,0.001
NYCW,NPCC NYC/Westchester,12789.90,30690409.06,0.000,0.005,0.981,0.008,0.000,0.000,0.006,0.000,0.001,0.000,0.000
NYLI,NPCC Long Island,5832.80,9823414.81,0.000,0.015,0.872,0.048,0.000,0.000,0.040,0.000,0.025,0.000,0.000
NYUP,NPCC Upstate NY,26425.40,85672139.27,0.000,0.001,0.254,0.003,0.321,0.332,0.012,0.056,0.021,0.000,0.000
PRMS,Puerto Rico Miscellaneous,6532.70,17502529.12,0.152,0.390,0.435,0.000,0.000,0.002,0.000,0.006,0.015,0.000,0.000
RFCE,RFC East,76472.90,285910488.26,0.047,0.001,0.539,0.007,0.362,0.015,0.009,0.010,0.010,0.000,0.000
RFCM,RFC Michigan,28925.40,92442123.60,0.255,0.015,0.494,0.016,0.101,0.005,0.015,0.087,0.013,0.000,0.000
RFCW,RFC West,141910.20,524411419.51,0.250,0.003,0.378,0.007,0.284,0.010,0.003,0.055,0.008,0.000,0.001
RMPA,WECC Rockies,24805.70,67712670.37,0.317,0.001,0.263,0.000,0.000,0.105,0.002,0.258,0.054,0.000,0.001
SPNO,SPP North,27920.20,73465291.06,0.316,0.002,0.140,0.000,0.140,0.001,0.001,0.397,0.002,0.000,0.000
SPSO,SPP South,58598.40,154693645.65,0.166,0.005,0.448,0.002,0.000,0.026,0.013,0.333,0.004,0.000,0.002
SRMV,SERC Mississippi Valley,48030.50,176431971.83,0.082,0.001,0.652,0.012,0.221,0.013,0.010,0.000,0.007,0.000,0.001
SRMW,SERC Midwest,31516.40,105521957.28,0.510,0.001,0.169,0.001,0.164,0.010,0.001,0.125,0.016,0.000,0.003
SRSO,SERC South,73016.50,256582130.49,0.145,0.001,0.553,0.000,0.203,0.026,0.036,0.000,0.036,0.000,0.000
SRTV,SERC Tennessee Valley,59035.50,209881959.02,0.281,0.001,0.297,0.000,0.328,0.078,0.007,0.000,0.008,0.000,0.000
SRVC,SERC Virginia/Carolina,96953.90,321205537.27,0.105,0.001,0.390,0.002,0.397,0.019,0.021,0.004,0.060,0.000,0.001
U.S.,,1303568.80,4167601391.18,0.162,0.006,0.427,0.005,0.186,0.059,0.011,0.101,0.040,0.004,0.001
*percentages may not sum to 100 due to rounding,,,,,,,,,,,,,,
,,,,,,,,,,,,,Created:,01/17/2025